Date,Year,Month,country_code,region_code,area_km2,NDVI_d,dewpoint_temperature_2m_d,humidity_d,max_temperature_2m_d,min_temperature_2m_d,surface_pressure_d,temperature_2m_d,total_precipitation_d,u_component_of_wind_10m_d,v_component_of_wind_10m_d,max_elevation_d,mean_elevation_d,min_elevation_d,stdDev_elevation_d,variance_elevation_d,Forest_Cover_Percent
2015-01-01,2015,1,AR,AR-W,89507.068,0.6427763287310587,295.8000291630739,85.49939848907398,302.8594645680131,293.0007884299776,99544.86922681444,298.46566972383056,20.032340149021135,-0.050305378819151286,-0.8371022531303391,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-02,2015,1,AR,AR-W,89507.068,0.6427763287310587,287.53223941243584,68.63580548867995,298.79564101827555,289.3997839338431,100559.23547191452,293.74491999866825,0.1441462482793965,-0.3541008619507661,4.492903286171556,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-03,2015,1,AR,AR-W,89507.068,0.6427763287310587,289.05088656165424,66.56671467659679,301.90614015067524,290.52326008678347,100758.81263456221,295.9926061374796,0.0038165490415644,-1.959341287011098,0.9970831216289212,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-04,2015,1,AR,AR-W,89507.068,0.6427763287310587,291.12711455169625,65.64082126003761,304.36792357774925,291.8040582963064,100687.55754834034,298.4800024755906,0.004900486459679556,-1.2715568240527733,1.0708101143027613,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-05,2015,1,AR,AR-W,89507.068,0.6427763287310587,294.21309523251944,69.09282896484862,306.5021548560335,294.6315041573942,100434.65464105281,300.61020529218484,0.7101906060209131,-1.8881589183156275,-1.2164291797238214,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-06,2015,1,AR,AR-W,89507.068,0.6427763287310587,297.5552047001762,73.00823023242008,308.74406153431994,298.82431938713785,100166.87817033353,303.23402993223215,0.3828667337254644,-1.2985759480744234,-3.6184722098331648,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-07,2015,1,AR,AR-W,89507.068,0.6427763287310587,295.7632941155236,82.43540843847317,302.7967430151448,296.288559770162,100118.7931640973,299.07787260782936,20.69463934438915,-1.2902680444118773,-0.2190170653244923,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-08,2015,1,AR,AR-W,89507.068,0.6427763287310587,296.6366466402816,88.27207707853674,302.60120554203104,296.6356553953773,100245.51402950904,298.79090331878984,10.780319217724399,-1.4028621268200177,-1.094821859496063,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-09,2015,1,AR,AR-W,89507.068,0.6427763287310587,297.2542683709621,82.60113966994871,305.0271669657316,297.6116723263781,100130.97308360117,300.6273001312691,12.99145034726331,0.2921289117823764,-3.0608340287467684,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-10,2015,1,AR,AR-W,89507.068,0.6427763287310587,297.49471202165415,79.7735238482075,305.16589696043246,298.0909047229574,100214.61320538464,301.48116372861716,6.150129066227123,-1.394689672739118,-1.683826338484075,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-11,2015,1,AR,AR-W,89507.068,0.6427763287310587,295.6323266774476,82.37870537965328,303.42797788667673,296.3107384912062,100249.18382180981,298.98179151581814,17.639513217066135,0.50041984801824,-1.9227210993755135,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-12,2015,1,AR,AR-W,89507.068,0.6427763287310587,296.061200227039,79.70662112975332,306.2762103202246,294.7045876560255,100283.3564471105,300.1286851402954,2.452494115785251,-0.8500253515933032,-1.1454918869120736,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-13,2015,1,AR,AR-W,89507.068,0.6427763287310587,297.19076949802263,73.97383538483537,307.4505503002478,298.818433936166,100018.62868074217,302.59491402257333,4.356327699411605,-1.00498973977228,-3.599912000982553,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-14,2015,1,AR,AR-W,89507.068,0.6427763287310587,295.987853647744,83.66035277522946,302.1644637525919,296.9713238197685,100210.76821439569,299.048150647272,14.152550080399436,-0.9675379607159602,-0.4934225940813773,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-15,2015,1,AR,AR-W,89507.068,0.6427763287310587,295.6825197775728,86.18500269468159,301.22666903511265,295.76307138813524,100700.7799800105,298.2333379723845,7.03093256519984,-2.205334832650321,0.3141761165320347,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-16,2015,1,AR,AR-W,89507.068,0.6427763287310587,296.08453117198866,85.5662225247825,303.05916323443444,296.02639636924295,100507.98472091781,298.77016787781884,9.23830843524649,-1.7528665720506666,-0.6757268867706033,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
2015-01-17,2015,1,AR,AR-W,89507.068,0.6427763287310587,296.3717586795782,79.84469257863356,305.8633612850085,296.1511137775934,100350.69061697264,300.46631762740253,6.829532784299578,-0.6679984515625169,0.947914161487671,239,67.54401414194024,6,17.8565200009947,318.8553065459237,43.401
